1.09862 1.27123 0.18258
1.09877 1.05908 0.35074
1.09891 1.20236 0.46275
1.09906 1.14103 0.31146
1.0992 0.8951 0.23013
1.09934 0.98876 0.41701
1.09949 0.98317 0.34616
1.09964 0.78519 0.15779
1.09978 0.8004 0.27972
1.09993 0.77578 0.23455
1.10007 0.71355 0.17335
1.10021 0.77296 0.18156
1.10036 0.70591 0.08946
1.1005 0.65444 0.2568
1.10065 0.68969 0.22371
1.1008 0.70946 0.21509
1.10094 0.73393 0.11097
1.10108 0.68355 0.06971
1.10123 0.65894 0.10645
1.10137 0.73267 0.02784
1.10152 0.81905 0.11526
1.10167 0.75305 0.08959
1.10181 0.69995 0.13734
1.10196 0.81005 0.16421
1.1021 0.86909 0.24189
1.10224 0.7454 0.21562
1.10239 0.63416 0.20041
1.10254 0.6267 0.15831
1.10268 0.74071 0.20477
1.10283 0.62362 0.22683
1.10297 0.78649 0.23486
1.10311 0.75597 0.25165
1.10326 0.65423 0.28052
1.1034 0.48079 0.15516
1.10355 0.69133 0.31329
1.1037 0.58038 0.24034
1.10384 0.6611 0.24312
1.10398 0.63329 0.09454
1.10413 0.56048 0.10848
1.10427 0.65108 0.05759
1.10442 0.55412 0.11103
1.10457 0.51688 0.24125
1.10471 0.54143 0.3874
1.10486 0.59138 0.18426
1.105 0.68635 0.32587
1.10514 0.68048 0.21027
1.10529 0.70286 0.22469
1.10544 0.75254 0.31232
1.10558 0.576 0.25041
1.10573 0.49531 0.26788
1.10587 0.44338 0.05363
1.10601 0.54051 0.07786
1.10616 0.58882 0.08591
1.10631 0.55771 0.173
1.10645 0.67978 0.23849
1.1066 0.62507 0.25558
1.10674 0.52895 0.21582
1.10688 0.56599 0.2553
1.10703 0.67721 0.26684
1.10717 0.67128 0.2041
1.10732 0.58492 0.13042
1.10747 0.47363 0.20211
1.10761 0.54336 0.21525
1.10775 0.67951 0.21816
1.1079 0.5461 0.06334
1.10804 0.48265 0.09576
1.10819 0.42404 0.11161
1.10834 0.58047 0.08202
1.10848 0.81399 0.21719
1.10863 0.72833 0.10646
1.10877 0.72524 0.13806
1.10891 0.69735 0.16246
1.10906 0.71883 0.35669
1.10921 0.5864 0.33113
1.10935 0.62886 0.17988
1.1095 0.58943 0.26654
1.10964 0.53375 0.36104
1.10978 0.49193 0.37797
1.10993 0.55111 0.33902
1.11007 0.50868 0.24474
1.11022 0.68365 0.22023
